State	Votes	rank
AL	9	4
AK	3	1
AZ	11	6
AR	6	3
CA	55	9
CO	9	4
CT	7	3
DE	3	1
DC	3	1
FL	29	8
GA	16	7
HI	4	2
ID	4	2
IL	20	7
IN	11	6
IA	6	3
KS	6	3
KY	8	4
LA	8	4
ME	4	2
MD	10	5
MA	11	6
MI	16	7
MN	10	5
MS	6	3
MO	10	5
MT	3	1
NE	5	2
NV	6	3
NH	4	2
NJ	14	6
NM	5	2
NY	29	8
NC	15	6
ND	3	1
OH	18	7
OK	7	3
OR	7	3
PA	20	7
RI	4	2
SC	9	4
SD	3	1
TN	11	6
TX	38	9
UT	6	3
VT	3	1
VA	13	6
WA	12	6
WV	5	2
WI	10	5
WY	3	1
